uphc_name,latitude,longitude,ward_id
Kathivakkam,13.2161325,80.318177,2
Ernavoor,13.1895685,80.3039002,3
Kuppam,13.1796056,80.3004716,4
Thiruvottiyur,13.1683574,80.3045848,11
Sathangadu,13.1478614,80.2941488,12
Thangal,13.152677,80.2951065,14
Manali,13.1635785,80.2586088,21
Manali New Town,13.2013779,80.2690808,15
Puzhal,13.164815,80.2048379,22
Madhavaram,13.1471925,80.2296915,26
Kannabiran,13.1254901,80.2464527,31
Lakshmipuram,13.1326884,80.21021,32
Kodungaiyur,13.1349069,80.2436791,35
Vivekananda Nagar,13.1307432,80.2583658,36
Vyasarpadi,13.115989,80.2719465,37
RKNagar N,13.1259316,80.2923985,38
Harinarayana Puram,13.1106555,80.2738968,47
New Washermenpet,13.1398167,80.2977219,39
Voc Nagar,13.1262149,80.2922633,40
Korukkupet,13.1274481,80.2797992,41
Jeeva Nagar,13.1324667,80.253515,42
Tondiarpet,13.128811,80.2931751,43
Sharma Nagar,13.120458,80.254403,36
Perambur,13.1236814,80.2316773,44
Elango Nagar,13.0537182,80.1906046,45
S.M. Nagar,13.1178746,80.2657288,45
VRNagar,13.1148236,80.2871828,48
Sanjeevarayanpet,13.124677,80.290188,49
Grace Garden,13.1183084,80.2930178,50
Kondithope,13.1042169,80.2745167,53
